type,history_id,watched_at,show_id,show_name,season_number,episode_number,episode_trakt_id,movie_trakt_id,movie_title
movie,11880364271,1999-05-07T16:30:00.000Z,,,,,,445,The Mummy
movie,11997084088,2000-01-12T18:30:00.000Z,,,,,,99095,Ramji Rao Speaking
movie,11883397203,2001-12-23T20:52:00.000Z,,,,,,5956,The One
movie,12035081396,2002-02-03T09:53:00.000Z,,,,,,6137,Commando
movie,11880437596,2002-02-20T09:13:00.000Z,,,,,,75,Predator
movie,11997078915,2002-07-04T16:30:00.000Z,,,,,,265874,Meesa Madhavan
movie,11946739784,2002-07-12T16:30:00.000Z,,,,,,9727,Devdas
movie,11983038102,2004-07-25T14:30:00.000Z,,,,,,5176,End of Days
movie,11983041731,2004-10-29T07:30:00.000Z,,,,,,3564,Junior
movie,11997077963,2005-01-11T14:04:00.000Z,,,,,,347497,Kashmeeram
movie,11997086277,2005-01-20T16:30:00.000Z,,,,,,146704,Udayananu Tharam
movie,11982376084,2005-02-03T14:30:00.000Z,,,,,,265,Catwoman
movie,11880402930,2005-03-23T16:06:00.000Z,,,,,,6161,Scooby-Doo 2: Monsters Unleashed
movie,11983035882,2005-04-01T12:30:00.000Z,,,,,,5121,Collateral Damage
movie,11983041165,2005-09-16T09:30:00.000Z,,,,,,4579,Jingle All the Way
movie,11982345314,2005-10-20T15:30:00.000Z,,,,,,15419,Koi... Mil Gaya
movie,11982370407,2005-11-01T08:30:00.000Z,,,,,,4398,Garfield
movie,12173583031,2005-11-01T22:44:00.000Z,,,,,,607,The Evil Dead
movie,12173585742,2005-11-03T22:46:00.000Z,,,,,,609,Army of Darkness
movie,11946730375,2005-12-16T16:30:00.000Z,,,,,,60541,Thanmathra
movie,11982372538,2006-01-23T15:30:00.000Z,,,,,,4398,Garfield
movie,11997084657,2006-03-22T08:30:00.000Z,,,,,,307365,Thilakkam
movie,11880585105,2006-04-02T11:15:00.000Z,,,,,,4869,Last Action Hero
movie,11997078604,2006-04-14T16:30:00.000Z,,,,,,140490,Chinthamani Kolacase
movie,11982381925,2006-04-23T15:30:00.000Z,,,,,,5886,Torque
movie,12255958732,2006-05-04T17:54:00.000Z,,,,,,320230,Achuvinte Amma
movie,11982353685,2006-06-23T16:30:00.000Z,,,,,,21019,Krrish
movie,11997091065,2006-07-10T15:30:00.000Z,,,,,,177694,Ayal Kadha Ezhuthukayanu
movie,11883366830,2006-07-17T20:23:00.000Z,,,,,,21499,Rumble in the Bronx
movie,11997083525,2006-08-12T05:30:00.000Z,,,,,,146471,Ravanaprabhu
movie,11982293346,2006-08-13T22:50:00.000Z,,,,,,6800,Shaolin Soccer
movie,11997089136,2007-03-17T13:30:00.000Z,,,,,,146482,Spadikam
movie,11997087316,2007-04-06T16:30:00.000Z,,,,,,143040,Chotta Mumbai
movie,11946727007,2007-04-14T16:30:00.000Z,,,,,,311989,Athisayan
movie,11880390219,2007-04-26T16:01:00.000Z,,,,,,987,Miss Congeniality
movie,11946729389,2007-05-03T16:30:00.000Z,,,,,,440,Spider-Man 3
movie,11982384533,2007-06-04T06:30:00.000Z,,,,,,8501,Dhoom 2
movie,11983037452,2007-06-11T13:30:00.000Z,,,,,,5375,The Rundown
